Simulation,Precision,Recall,F1 Score,Tool
Soil_Medium_Zero,0.030226700251889168,0.46153846153846156,0.05673758865248227,VirBrant
Soil_Full_Uniform,0.01969944716966441,0.25922131147540983,0.03661625298502062,VirBrant
Gut_Medium_Exponential,0.0166358595194085,0.14285714285714285,0.029801324503311254,VirBrant
Gut_Medium_Lognormal,0.006134969325153374,0.09433962264150944,0.01152073732718894,VirBrant
Soil_Low_Halfnormal,0.0,0.0,0.0,VirBrant
Soil_Full_Lognormal,0.02195293291183702,0.24224806201550386,0.04025764895330112,VirBrant
Soil_Medium_Halfnormal,0.013493253373313344,0.3333333333333333,0.02593659942363112,VirBrant
Soil_Low_Uniform,0.0,0.0,0.0,VirBrant
Gut_Medium_Exponential,0.08674698795180723,0.5714285714285714,0.15062761506276148,VirSorter2
Gut_Low_Lognormal,0.0,0.0,0.0,VirSorter2
Gut_Medium_Halfnormal,0.07621951219512195,0.44642857142857145,0.13020833333333334,VirSorter2
Soil_Low_Halfnormal,0.0,0.0,0.0,VirSorter2
Gut_Medium_Uniform,0.1951219512195122,0.5161290322580645,0.28318584070796465,VirSorter2
Gut_Medium_Lognormal,0.03558718861209965,0.37735849056603776,0.06504065040650407,VirSorter2
Gut_Low_Zero,0.0,0.0,0.0,VirSorter2
Gut_Low_Halfnormal,0.0,0.0,0.0,VirSorter2
Soil_Low_Lognormal,0.03571428571428571,1.0,0.0689655172413793,VirSorter2
Soil_Medium_Lognormal,0.05150976909413854,0.47540983606557374,0.09294871794871795,VirSorter2
Gut_Low_Exponential,0.0,0.0,0.0,VirSorter2
Soil_Low_Exponential,0.1111111111111111,1.0,0.19999999999999998,VirSorter2
Soil_Medium_Uniform,0.08333333333333333,0.38461538461538464,0.136986301369863,VirSorter2
Soil_Low_Zero,0.030303030303030304,1.0,0.05882352941176471,VirSorter2
Gut_Full_Halfnormal,0.05399568034557235,0.4098360655737705,0.09541984732824428,VirSorter2
Soil_Full_Halfnormal,0.054525014052838675,0.3766990291262136,0.09526147802602505,VirSorter2
Gut_Full_Exponential,0.058693244739756366,0.4774774774774775,0.10453648915187377,VirSorter2
Soil_Full_Uniform,0.060078692493946734,0.4067622950819672,0.10469409282700422,VirSorter2
